lon,lat,amenity
-0.4053474,51.498962,recycling
-0.1513333,51.431602,doctors
0.2154607,51.627228,post_box
0.22016,51.592316,fuel
0.219645,51.59264,recycling
0.2196407,51.60735,bank
0.233886,51.593662,post_office
0.2342052,51.593773,cafe
0.2330465,51.593422,pharmacy
0.2327727,51.592876,atm
0.2320711,51.594555,place_of_worship
0.2337274,51.590702,dentist
0.233937,51.59362,post_box
0.2336231,51.593597,fast_food
0.2346712,51.59392,restaurant
0.2113795,51.60041,fast_food
-0.0884773,51.537056,pub
-0.0767013,51.5371,telephone
0.2344868,51.593857,fast_food
-0.061817,51.53679,post_office
-0.0769193,51.524216,stripclub
-0.0642499,51.526962,doctors
-0.071524,51.540443,post_box
-0.0535397,51.52024,telephone
-0.0524527,51.52046,telephone
-0.0519879,51.520554,telephone
-0.0497666,51.51681,post_box
-0.0540477,51.514313,telephone
-0.0538623,51.514317,post_box
-0.0536349,51.51429,telephone
-0.0592289,51.519115,telephone
-0.0589373,51.519093,pub
-0.2089987,51.467995,post_box
-0.2105291,51.46848,parking
-0.2104484,51.469368,pub
-0.1585799,51.52398,pub
-0.1359896,51.54181,pub
-0.1770291,51.62658,school
-0.1337724,51.52182,pub
-0.0871721,51.53283,place_of_worship
-0.0831341,51.53228,post_box
-0.0834611,51.52899,post_box
-0.0879324,51.52941,disused:pub
-0.046212,51.5449,telephone
-0.0769562,51.532852,post_box
-0.1980072,51.596676,post_office
-0.1769854,51.617004,post_office
0.3248271,51.486485,post_box
0.3248195,51.486538,telephone
-0.0610648,51.518703,telephone
-0.3618948,51.44488,place_of_worship
-0.3542958,51.45574,pub
-0.3514212,51.45477,pub
-0.3173281,51.579082,post_box
-0.0418038,51.5461,post_box
-0.0420591,51.546978,telephone
-0.0417996,51.54673,dead_pub
-0.1080728,51.59496,parking
-0.0909002,51.606544,fuel
-0.3143644,51.567177,post_box
-0.3153598,51.563686,post_box
-0.3196106,51.566116,post_box
-0.0704393,51.537792,post_box
-0.0727401,51.53849,post_box
-0.0733282,51.538574,recycling
-0.0765064,51.538395,post_box
-0.0719198,51.53789,telephone
-0.0722145,51.5382,telephone
-0.0764029,51.540653,telephone
-0.0762726,51.541565,telephone
-0.0744743,51.540108,pub
-0.0738046,51.5407,telephone
-0.0735594,51.540775,recycling
-0.0708342,51.542355,recycling
-0.073736,51.543957,post_box
-0.0697833,51.545864,telephone
-0.0699723,51.546093,post_box
-0.0669169,51.544052,post_box
-0.0674404,51.543205,telephone
-0.0583193,51.541885,recycling
-0.1518909,51.559456,toilets
0.3374241,51.476433,fuel
0.2975059,51.52452,fuel
0.2982287,51.523407,pub
-0.05418,51.373688,pub
-0.4028223,51.68281,parking
-0.0563209,51.539005,fuel
-0.0589562,51.376335,fuel
-0.3398703,51.458736,fuel
-0.3587255,51.46666,pub
-0.1904313,51.48958,pub
-0.4733092,51.365814,post_box
0.2195076,51.568146,pub
0.2193446,51.567738,fuel
0.2349029,51.605022,fast_food
-0.3513341,51.653156,parking
-0.3669356,51.470753,pub
0.3145286,51.474342,pub
-0.0253425,51.37774,fast_food
-0.0502512,51.374382,pub
-0.3191658,51.51938,post_box
-0.3234704,51.521324,post_box
-0.3275195,51.46863,cafe
0.186879,51.58202,fuel
-0.2644338,51.336876,parking_entrance
0.011266,51.375893,pub
-0.1627405,51.35305,place_of_worship
-0.1618594,51.35057,post_box
-0.3171954,51.536686,telephone
-0.3110536,51.538082,school
-0.3231845,51.533794,dentist
-0.3521912,51.526722,post_office
-0.3523681,51.526756,post_box
-0.0836591,51.375175,pub
0.4137959,51.55074,post_box
-0.0900478,51.471497,post_box
-0.0884967,51.471554,post_box
-0.092829,51.47427,toilets
-0.0904278,51.473816,bicycle_parking
-0.0903838,51.473763,telephone
0.2091264,51.604183,place_of_worship
0.2259836,51.62175,school
-0.4170041,51.46549,pub
0.2141389,51.60639,pub
-0.1215936,51.521225,post_box
-0.1223623,51.522232,hospital
